ID	字头	级别	课标字表标记	低段字序	中低段字序	全段字序
86	它	a	表一	50	38	42
87	年	a	表一，308	114	73	61
88	花	a	表一，308	37	53	66
89	给	a	表一，308	96	93	96
90	进	a	表一，308	140	110	105
91	快	a	表一，308	72	108	131
92	两	a	表一，308	134	102	98
93	呢	a	表一	84	115	138
94	白	a	表一，308	60	97	101
95	手	a	表一，308	110	89	89
96	几	a	表一，308	162	119	122
97	身	a	表一，308	148	114	107
98	现	a	表一，308	174	123	111
99	点	a	表一，308	103	103	108
100	向	a	表一，308	150	107	106
101	听	a	表一，308	105	105	109
102	己	a	表一，308	124	117	120
103	知	a	表一，308	149	129	126
104	眼	a	表一	155	112	115
105	真	a	表一，308	112	124	139
106	文	a	表一，308	93	127	130
107	些	a	表一，308	207	121	114
108	当	a	表一，308	212	139	124
109	气	a	表一，308	132	113	116
110	叫	a	表一，308	104	106	117
111	于	a	表一	218	149	113
112	明	a	表一，308	157	131	129
113	方	a	表一，308	143	122	118
114	光	a	表一，308	123	104	104
115	事	a	表一	141	118	112
116	经	a	表一，308	234	175	140
117	候	a	表一	163	134	134
118	山	a	表一，308	52	62	68
119	本	a	表一，308	145	187	187
120	正	a	表一，308	182	159	156
121	风	a	表一，308	78	109	123
122	而	a	表一	416	148	102
123	间	a	表一	251	173	151
124	意	a	表一	221	174	157
125	住	a	表一，308	152	133	147
126	色	a	表一	108	99	97
127	学	a	表一，308	70	70	71
128	老	a	表一，308	56	59	67
129	笑	a	表一，308	106	141	155
130	怎	a	表一	142	163	181
131	做	a	表一，308	122	126	141
132	再	a	表一，308	195	181	165
133	如	a	表一	258	171	125
134	最	a	表一	193	152	135
135	问	a	表一，308	98	125	153
136	让	a	表一，308	177	154	171
137	树	a	表一，308	39	58	87
138	三	a	表一，308	158	140	132
139	美	a	表一，308	120	130	133
140	别	a	表一，308	170	194	199
141	无	a	表一	338	196	145
142	打	a	表一，308	172	142	142
143	十	a	表一，308	225	145	128
144	满	a	表一	201	195	198
145	被	a	表一，308	245	179	162
146	种	a	表一	146	128	119
147	同	a	表一，308	196	132	127
148	放	a	表一，308	169	164	170
149	常	a	表一	191	153	150
150	行	a	表一，308	219	166	146
151	飞	a	表一，308	79	100	110
152	才	a	表一，308	242	201	196
153	者	a	表一	213	253	251
154	分	a	表一，308	270	198	168
155	外	a	表一，308	203	167	169
156	二	a	表一，308	156	203	195
157	日	a	表一，308	180	155	136
158	国	a	表一，308	131	87	64
159	带	a	表一	199	207	200
160	但	a	表一，308	431	217	164
161	已	a	表一	341	231	193
162	每	a	表一，308	238	199	183
163	话	a	表一，308	178	169	173
164	太	a	表一，308	101	120	137
165	口	a	表一，308	179	161	174
166	西	a	表一，308	187	151	149
167	望	a	表一	175	197	180
168	情	a	表一	332	224	184
169	定	a	表一	268	222	202
170	清	a	表一	184	206	204
171	远	a	表一	232	186	189
172	果	a	表一，308	171	176	186
173	吗	a	表一	144	205	236
174	活	a	表一	277	214	188
175	红	a	表一，308	128	136	159
176	四	a	表一，308	215	221	218
177	路	a	表一	135	144	152
178	读	a	表一	192	172	160
179	吧	a	表一	137	183	207
180	直	a	表一，308	326	252	244
181	名	a	表一	263	227	206
182	爱	a	表一	164	162	175
183	月	a	表一，308	130	146	154
184	兴	a	表一，308	194	240	283
185	啊	a	表一	136	192	232
186	空	a	表一	181	182	179
187	之	a	表一	467	243	144
188	孩	a	表一，308	80	92	99
189	东	a	表一，308	236	204	191
190	次	a	表一，308	322	213	192
191	许	a	表一	260	233	228
192	所	a	表一	480	268	213
193	处	a	表一	278	238	240
194	全	a	表一，308	378	279	223
195	条	a	表一，308	173	189	190
196	等	a	表一	293	230	224
197	门	a	表一，308	198	170	163
198	往	a	表一	241	236	245
199	字	a	表一，308	85	177	178
200	却	a	表一	396	288	255
201	吃	a	表一，308	117	137	158
202	觉	a	表一	274	285	266
203	跑	a	表一，308	121	168	226
204	原	a	表一	249	255	264
205	哪	a	表一	208	228	263
206	阳	a	表一，308	94	135	172
207	更	a	表一，308	335	267	261
208	力	a	表一，308	333	239	203
209	感	a	表一	498	286	237
210	亮	a	表一，308	151	191	214
211	欢	a	表一	205	245	271
212	连	a	表一	266	262	275
213	变	a	表一	165	184	208
214	相	a	表一	394	281	246
215	因	a	表一，308	445	259	229
216	草	a	表一，308	118	158	194
217	片	a	表一，308	204	216	238
218	位	a	表一	291	242	225
219	比	a	表一，308	272	247	235
220	第	a	表一	243	234	230
221	流	a	表一	288	235	242
222	使	a	表一	449	280	233
223	新	a	表一	279	251	260
224	少	a	表一，308	362	266	253
225	物	a	表一	216	165	166
226	改	a	表一	244	370	443
227	落	a	表一	271	272	273
228	接	a	表一	399	320	294
229	乐	a	表一，308	161	212	234
230	重	a	表一	390	265	249
231	早	a	表一，308	267	293	304
232	神	a	表一	325	246	217
233	完	a	表一	414	325	297
234	海	a	表一，308	127	101	100
235	难	a	表一	364	327	281
236	写	a	表一	125	215	216
237	轻	a	表一	220	178	201
238	奇	a	表一，308	294	277	303
239	找	a	表一，308	166	226	265
240	实	a	表一	453	289	254
241	跟	a	表一	222	275	278
242	世	a	表一	351	248	219
243	亲	a	表一	269	156	121
244	她	a	表一，308	86	88	72
245	绿	a	表一	133	193	248
246	站	a	表一，308	298	290	292
247	法	a	表一	233	249	247
248	黄	a	表一	214	219	209
249	喜	a	表一	248	278	310
250	五	a	表一，308	295	269	262
251	立	a	表一，308	401	328	298
252	深	a	表一	379	283	259
253	便	a	表一	553	302	257
254	此	a	表一	581	402	302
255	先	a	表一，308	316	260	239
256	夜	a	表一	283	263	256
257	林	a	表一，308	159	180	197
258	谁	a	表一，308	186	274	329
259	干	a	表一，308	327	287	291
260	跳	a	表一，308	202	258	317
261	张	a	表一	254	273	276
262	告	a	表一	320	324	336
263	呀	a	表一	168	256	349
264	马	a	表一，308	147	138	148
265	平	a	表一，308	391	311	272
266	根	a	表一	275	303	326
267	其	b	表一	808	397	309
268	安	a	表一	363	310	284
269	晚	a	表一，308	311	329	324
270	万	a	表一，308	340	305	277
271	坐	a	表一，308	318	331	331
272	结	a	表一	384	350	366
273	加	a	表一，308	406	345	363
274	今	a	表一，308	429	398	357
275	并	b	表一	734	387	335
276	总	a	表一	424	318	290
277	书	a	表一，308	183	188	161
278	青	a	表一，308	154	229	268
279	拿	a	表一	337	322	325
280	千	a	表一，308	365	335	314
281	游	a	表一	230	264	301
282	金	a	表一，308	231	220	241
283	脚	a	表一	299	297	312
284	百	a	表一，308	354	296	307
285	妈	a	表一，308	23	48	76
286	火	a	表一，308	303	211	185
287	将	b	表一	651	358	252
288	忙	a	表一	256	348	396
289	课	a	表一，308	296	304	359
290	丽	a	表一	200	261	296
291	认	a	表一	297	372	407
292	非	a	表一	409	404	381
293	受	b	表一	743	427	354
294	春	a	表一，308	116	210	270
295	叶	a	表一，308	115	190	267
296	体	b	表一	633	382	315
297	选	a	表一	309	487	517
298	理	a	表一	400	321	308
299	黑	a	表一	289	276	280
300	雨	a	表一，308	129	150	212
301	睛	a	表一	336	316	360
302	入	a	表一	588	452	376
303	惊	a	表一	512	430	411
304	音	a	表一，308	348	257	269
305	歌	a	表一	160	244	311
306	脸	a	表一，308	418	349	337
307	界	a	表一	386	314	316
308	停	a	表一	422	383	433
309	由	b	表一	672	439	385
310	河	a	表一，308	138	157	182
311	细	a	表一	330	341	375
312	紧	a	表一	375	319	328
313	整	a	表一	495	401	373
314	步	a	表一	446	334	343
315	终	a	表一	529	456	413
316	热	a	表一	435	367	382
317	石	a	表一，308	223	185	177
318	刚	a	表一	377	352	388
319	照	a	表一	345	389	393
320	命	b	表一	667	343	287
321	请	a	表一	292	363	390
322	送	a	表一	300	306	327
323	似	b	表一	845	410	340
324	木	a	表一，308	224	225	274
325	传	a	表一	479	434	371
326	近	b	表一	629	442	404
327	工	a	表一，308	427	282	231
328	始	a	表一	503	447	409
329	古	a	表一	284	315	319
330	久	a	表一	468	393	410
331	响	a	表一	466	380	379
332	思	a	表一	506	451	400
333	故	a	表一	425	364	352
334	教	a	表一	301	309	299
335	指	a	表一	374	308	313
336	急	a	表一	370	406	434
337	公	a	表一，308	189	200	221
338	转	a	表一	463	411	386
339	友	a	表一	209	292	338
340	语	a	表一，308	356	391	425
341	鸟	a	表一，308	113	147	220
342	各	a	表一	428	346	344
343	记	a	表一	511	379	318
344	赶	a	表一	412	412	419
345	离	a	表一	548	426	394
346	半	a	表一，308	432	384	389
347	特	a	表一	492	362	322
348	信	a	表一	359	307	288
349	机	a	表一，308	395	284	282
350	与	b	表一	890	500	365
351	应	a	表一	595	490	437
352	块	a	表一	306	299	323
353	通	a	表一	510	421	377
354	关	a	表一，308	638	450	380
355	倒	a	表一	497	443	429
356	屋	a	表一	317	330	347
357	云	a	表一，308	308	366	353
358	随	b	表一	781	520	465
359	场	a	表一	381	356	333
360	主	a	表一，308	315	270	258
361	极	a	表一	382	396	436
362	旁	a	表一	443	473	515
363	刻	a	表一	544	444	408
364	穿	a	表一，308	402	440	418
365	怕	a	表一	494	463	402
366	表	a	表一	587	423	355
367	突	a	表一	617	457	460
368	衣	a	表一，308	290	357	369
369	目	a	表一，308	684	515	446
370	答	a	表一	408	371	421
371	座	a	表一	321	354	367
372	朝	a	表一	419	458	422
373	留	a	表一	624	491	454
374	掉	a	表一	366	445	488
375	识	a	表一	229	472	533
376	静	a	表一	554	390	361
377	死	a	表一	397	301	293
378	女	a	表一，308	489	237	210
379	民	a	表一，308	496	408	289
380	北	a	表一，308	307	347	332
381	节	a	表一	353	413	406
382	代	b	表一	678	505	374
383	尽	b	表一	698	560	489
384	背	a	表一	438	375	414
385	呼	a	表一	346	395	416
386	形	b	表一	683	453	397
387	拉	a	表一	373	369	341
388	收	a	表一	417	469	463
389	该	a	表一	483	499	514
390	园	a	表一	314	317	372
391	提	a	表一	513	466	430
392	星	a	表一，308	139	209	250
393	玩	a	表一，308	240	344	439
394	画	a	表一，308	74	143	205
395	解	a	表一	625	533	456
396	围	a	表一	380	494	461
397	雪	a	表一，308	176	241	279
398	部	b	表一	773	407	351
399	数	a	表一	442	385	383
400	诉	a	表一	451	468	508
401	师	a	表一，308	188	160	176
402	准	a	表一	540	525	532
403	装	a	表一	433	477	492
404	南	a	表一	355	359	348
405	野	a	表一	273	360	395
406	服	a	表一	387	465	445
407	嘴	a	表一	413	420	450
408	房	a	表一	282	351	384
409	办	a	表一，308	280	431	487
410	忽	a	表一	520	479	485
411	容	b	表一	686	545	519
412	底	a	表一	533	460	459
413	越	a	表一	388	271	286
414	首	a	表一	439	455	435
415	群	a	表一	410	418	401
416	周	a	表一	389	435	428
417	朋	a	表一，308	228	355	441
418	观	a	表一	464	432	423
419	摇	a	表一	255	368	426
420	交	a	表一，308	723	548	457
421	失	b	表一	696	541	483
422	布	a	表一	323	333	339
423	唱	a	表一	227	337	412
424	顶	a	表一	458	496	464
425	岁	a	表一，308	564	486	448
426	内	b	表一	899	568	503
427	精	b	表一	757	586	474
428	土	a	表一，308	519	428	399
429	秋	a	表一，308	285	400	458
430	车	a	表一，308	247	208	211
431	象	a	表一	252	365	368
432	毛	a	表一，308	257	326	356
433	件	a	表一	609	519	453
434	彩	a	表一	358	448	452
435	乎	b	表一	810	523	470
436	睡	a	表一	264	405	427
437	八	a	表一，308	455	475	449
438	朵	a	表一	259	338	440
439	切	b	表一	793	582	505
440	息	b	表一	661	555	537
441	决	b	表一	783	590	538
442	利	b	表一	644	454	387
443	香	a	表一	312	414	417
444	怪	a	表一	452	474	544
445	微	a	表一	561	471	467
446	领	a	表一	500	506	512
447	合	a	表一，308	722	539	495
448	量	b	表一	724	570	491
449	鱼	a	表一，308	190	250	295
450	化	b	表一	782	554	472
451	吹	a	表一	287	419	528
452	王	a	表一，308	210	202	167
453	至	b	表一	1257	691	526
454	双	a	表一，308	690	480	475
455	管	a	表一	618	565	486
456	断	b	表一	634	553	525
457	注	b	表一	790	580	571
458	讲	a	表一	490	476	462
459	鲜	a	表一	507	522	584
460	慢	a	表一	357	361	398
461	阵	a	表一	505	498	498
462	景	a	表一	605	470	490
463	六	a	表一，308	536	579	552
464	城	a	表一	369	339	300
465	影	a	表一	549	531	497
466	蓝	a	表一	334	409	476
467	母	a	表一	599	323	243
468	包	a	表一，308	393	459	471
469	皮	a	表一，308	398	417	432
470	枝	a	表一	383	415	480
471	闪	a	表一	493	446	478
472	且	b	表一	1235	765	569
473	苦	b	表一	655	562	520
474	啦	a	表一	239	394	513
475	强	b	表一	827	558	496
476	低	a	表一	626	569	610
477	帮	a	表一	352	502	586
478	句	a	表一	594	591	566
479	巴	a	表一	250	336	378
480	期	b	表一	714	594	557
481	喊	a	表一	491	544	542
482	沉	b	表一	713	512	502
483	台	a	表一，308	454	438	403
484	何	b	表一	876	735	553
485	度	b	表一	831	600	511
486	爸	a	表一，308	90	116	143
487	举	b	表一	668	599	561
488	您	a	表一	246	300	330
489	或	b	表一	1089	575	506
490	即	b	表一	1325	745	635
491	取	b	表一	759	618	562
492	米	a	表一，308	447	312	345
493	冲	a	表一	589	478	509
494	飘	a	表一	371	530	614
495	爬	a	表一	276	381	473
496	令	b	表一	916	588	524
497	线	b	表一	685	521	501
498	诗	a	表一	328	429	405
499	习	a	表一，308	610	584	568
500	伸	a	表一	528	601	670
501	保	b	表一	859	595	558
502	足	a	表一，308	746	617	590
503	破	b	表一	836	656	595
504	船	a	表一，308	211	218	222
505	消	b	表一	820	729	681
506	挂	a	表一	470	640	698
507	求	b	表一	885	613	560
508	任	b	表一	938	685	550
509	备	b	表一	860	625	620
510	密	b	表一	657	551	559
511	七	a	表一，308	521	587	551
512	沙	a	表一	217	295	350
513	够	b	表一	990	674	665
514	脑	a	表一	582	546	604
515	松	a	表一	197	313	364
516	晨	a	表一	559	643	690
517	展	b	表一	795	717	632
518	报	b	表一	654	524	469
519	露	a	表一	565	578	644
520	伤	b	表一	697	510	543
521	战	b	表一	677	386	305
522	愿	b	表一	662	620	572
523	角	a	表一	593	574	564
524	夏	a	表一	474	593	658
525	称	a	表一	543	631	593
526	敢	b	表一	715	630	577
527	忘	b	表一	699	622	612
528	舞	a	表一	541	626	629
529	圆	a	表一	319	436	521
530	田	a	表一，308	313	422	529
531	村	a	表一	524	388	438
532	院	a	表一	570	485	500
533	抱	a	表一	601	638	683
534	显	b	表一	1127	742	661
535	温	b	表一	687	557	589
536	达	b	表一	744	572	504
537	待	b	表一	928	711	673
538	般	b	表一	1404	750	615
539	员	a	表一	583	353	321
540	虽	b	表一	1326	792	669
541	造	a	表一	577	573	518
542	反	a	表一，308	939	736	622
543	言	a	表一，308	573	668	579
544	据	a	表一	560	784	809
545	伙	a	表一	368	543	581
546	竟	b	表一	1133	814	651
547	冬	a	表一，308	253	488	587
548	激	b	表一	917	671	592
549	趣	a	表一	567	637	696
550	牛	a	表一，308	185	254	306
551	视	b	表一	870	726	652
552	引	b	表一	803	732	715
553	翻	b	表一	749	693	672
554	品	b	表一	665	740	655
555	论	b	表一	862	741	640
556	味	b	表一	751	647	663
557	奔	b	表一	688	675	679
558	及	b	表一	893	800	638
559	伴	a	表一	444	596	686
560	害	b	表一	663	672	659
561	乡	a	表一	436	449	468
562	藏	a	表一	478	529	548
563	料	b	表一	758	608	616
564	耳	a	表一，308	525	552	602
565	队	b	表一	653	399	362
566	电	a	表一，308	450	373	415
567	算	b	表一	673	628	601
568	窗	a	表一，308	405	516	534
569	笔	a	表一	331	492	527
570	错	a	表一	590	619	674
571	念	b	表一	801	644	613
572	散	b	表一	765	752	742
573	醒	a	表一	537	659	745
574	居	b	表一	720	716	626
575	球	a	表一	304	291	320
576	食	a	表一，308	639	561	565
577	灵	b	表一	719	665	636
578	午	a	表一，308	531	609	653
579	另	b	表一	940	771	743
580	军	a	表一，308	574	294	227
581	父	a	表一	575	298	215
582	迎	a	表一	569	766	763
583	士	b	表一	774	462	358
584	冷	a	表一	603	649	630
585	波	a	表一	585	627	624
586	饭	a	表一，308	764	624	580
587	累	a	表一	612	760	876
588	排	b	表一	918	692	621
589	棵	a	表一	411	527	597
590	争	b	表一	767	689	688
591	病	a	表一	421	416	420
592	钱	a	表一	532	342	334
593	题	b	表一	736	696	646
594	怀	b	表一	1116	819	647
595	劲	b	表一	706	759	831
596	必	b	表一	1236	869	724
597	宝	b	表一	645	535	536
598	透	b	表一	975	786	740
599	暖	a	表一	517	629	726
600	渐	a	表一	534	497	482
601	江	a	表一，308	502	392	392
602	英	a	表一	545	503	494
603	袋	a	表一	509	481	547
604	制	b	表一	854	753	631
605	单	b	表一	868	658	649
606	漂	a	表一	486	623	752
607	纸	a	表一	349	464	499
608	永	b	表一	919	703	701
609	岸	a	表一	600	577	567
610	夫	b	表一	817	528	431
611	客	a	表一	556	540	549
612	遍	b	表一	813	787	766
613	助	b	表一	693	709	786
614	图	b	表一	703	710	656
615	板	a	表一	472	511	546
616	喝	a	表一	461	536	575
617	运	b	表一	877	755	570
618	灯	a	表一，308	404	467	493
619	泪	b	表一	1220	831	717
620	谢	a	表一	403	504	605
621	靠	b	表一	930	817	768
622	科	a	表一	576	507	479
623	复	b	表一	1079	826	747
624	采	a	表一	542	775	821
625	买	a	表一	608	493	530
626	童	a	表一	426	538	576
627	曾	b	表一	1274	1007	761
628	追	b	表一	726	650	703
629	约	b	表一	1074	686	692
630	壮	b	表一	976	870	789
631	齐	b	表一	725	633	582
632	希	b	表一	778	707	657
633	格	b	表一	891	705	596
634	盖	b	表一	797	773	731
635	集	b	表一	1049	785	739
636	油	a	表一	572	660	709
637	充	b	表一	1012	889	812
638	幸	b	表一	1058	702	695
639	市	a	表一，308	760	636	617
640	建	b	表一	821	731	588
641	烈	b	表一	1291	899	770
642	浪	b	表一	691	581	600
643	类	b	表一	1143	604	540
644	坚	b	表一	1176	855	737
645	支	b	表一	994	770	642
646	右	b	表一	840	708	776
647	历	b	表一	1551	953	693
648	华	a	表一	571	583	510
649	续	b	表一	1005	879	825
650	察	a	表一	596	616	633
651	寒	a	表一	619	718	750
652	迷	b	表一	637	788	811
653	示	a	表一，308	1327	868	772
654	乱	b	表一	942	840	797
655	盛	b	表一	752	782	830
656	仍	b	表一	1435	839	785
657	吸	b	表一	812	719	771
658	严	b	表一	1103	815	705
659	功	b	表一	953	850	707
660	左	b	表一	878	778	777
661	颗	a	表一	484	501	609
662	祖	a	表一	501	509	447
663	墙	a	表一	563	641	594
664	尔	a	表一	499	377	370
665	摆	b	表一	656	779	832
666	性	b	表一	1259	958	668
667	丝	b	表一	635	654	666
668	哭	a	表一，308	704	728	706
669	熟	b	表一	832	807	833
670	珠	a	表一	584	602	722
671	养	b	表一	822	795	732
672	哇	a	表一	361	676	1013
673	腿	a	表一	568	721	728
674	绝	b	表一	1061	913	758
675	凉	b	表一	666	797	846
676	积	b	表一	1060	865	886
677	曲	b	表一	709	648	606
678	竹	a	表一，308	372	532	578
679	易	b	表一	954	858	829
680	具	b	表一	855	821	719
681	铁	b	表一	775	567	523
682	继	b	表一	962	811	801
683	持	b	表一	1295	993	784
684	校	a	表一，308	627	592	591
685	顺	b	表一	965	936	911
686	尾	a	表一	305	547	660
687	坏	a	表一	598	761	859
688	护	b	表一	745	605	618
689	虫	a	表一，308	261	437	522
690	试	a	表一	530	563	608
691	巨	b	表一	952	698	634
692	颜	a	表一	579	669	712
693	鼓	b	表一	710	810	769
694	初	b	表一	1106	981	844
695	奋	b	表一	1022	930	938
696	广	a	表一，308	772	789	721
697	升	a	表一	546	725	738
698	抓	b	表一	929	816	874
699	丛	b	表一	729	764	897
700	段	b	表一	1237	982	891
701	遇	b	表一	846	872	839
702	闻	b	表一	641	813	887
703	痛	b	表一	1048	777	748
704	差	b	表一	1329	990	867
705	未	b	表一	1145	980	803
706	妙	b	表一	895	939	921
707	寻	b	表一	911	796	780
708	洋	b	表一	669	661	697
709	闹	a	表一	591	783	910
710	层	b	表一	753	727	664
711	除	b	表一	1118	928	881
712	膀	a	表一	622	734	884
713	推	b	表一	1353	914	744
714	烟	b	表一	748	682	687
715	钟	b	表一	794	700	648
716	仿	b	表一	1388	891	852
717	九	a	表一，308	526	576	639
718	暗	b	表一	1090	863	802
719	扑	b	表一	779	751	792
720	楼	a	表一	487	663	573
721	独	b	表一	1222	1000	875
722	福	b	表一	937	679	662
723	抬	b	表一	788	894	926
724	佛	b	表一	1528	837	790
725	术	b	表一	811	598	555
726	计	b	表一	1134	842	680
727	男	a	表一	465	441	516
728	团	b	表一	750	801	713
729	止	b	表一	1371	945	920
730	临	b	表一	1723	1060	935
731	娘	a	表一	392	332	391
732	拍	a	表一	471	657	804
733	产	b	表一	1059	846	716
734	简	b	表一	1436	960	840
735	礼	b	表一	861	706	619
736	弯	a	表一	460	722	841
737	顿	b	表一	1050	859	849
738	梦	a	表一	614	768	704
739	需	b	表一	920	893	883
740	元	a	表一，308	658	611	583
741	农	a	表一，308	628	603	637
742	假	b	表一	659	794	864
743	泥	a	表一	440	589	645
744	纪	b	表一	1003	829	815
745	依	b	表一	1438	1008	764
746	森	a	表一	367	484	541
747	滚	b	表一	741	738	806
748	系	b	表一	1065	884	856
749	瞧	a	表一	547	730	896
750	冰	a	表一	477	513	598
751	确	b	表一	1389	977	845
752	勇	b	表一	871	808	853
753	雄	b	表一	824	866	723
754	共	a	表一，308	1080	962	787
755	床	a	表一，308	647	806	824
756	架	b	表一	838	843	793
757	富	b	表一	1209	905	795
758	捉	a	表一	527	791	979
759	室	b	表一	974	712	678
760	则	b	表一	1192	934	823
761	异	b	表一	1662	1044	943
762	银	b	表一	735	666	746
763	弄	b	表一	739	950	940
764	射	b	表一	961	681	677
765	斗	b	表一	977	883	650
766	戏	b	表一	681	818	838
767	默	b	表一	1104	838	749
768	扬	b	表一	932	898	918
769	仔	b	表一	716	921	1080
770	贵	b	表一	1306	948	877
771	端	b	表一	856	915	905
772	志	b	表一	804	757	607
773	钻	a	表一	580	687	858
774	胜	b	表一	1293	940	775
775	号	b	表一	664	714	641
776	躺	b	表一	842	851	963
777	挺	b	表一	754	941	934
778	悄	a	表一	434	514	623
779	庄	b	表一	837	754	836
780	程	b	表一	1013	954	767
781	唐	a	表一	475	713	729
782	纷	b	表一	646	673	756
783	珍	b	表一	718	606	684
784	速	b	表一	1405	897	848
785	考	b	表一	1144	857	781
786	鸡	a	表一	281	424	556
787	轮	b	表一	819	723	762
788	街	b	表一	785	748	710
789	著	b	表一	1006	916	919
790	血	b	表一	1102	805	778
791	猛	b	表一	1294	966	970
792	弟	a	表一	344	340	451
793	甜	a	表一	613	762	954
794	探	b	表一	1081	964	915
795	肯	b	表一	1210	1010	932
796	调	b	表一	1437	991	931
797	摸	b	表一	679	781	796
798	劳	b	表一	1092	997	929
799	须	c	表一	1225	1116	939
800	致	b	表一	1277	1041	982
801	救	a	表一	555	495	554
802	翅	a	表一	621	733	906
803	究	b	表一	1175	820	759
804	灰	b	表一	692	683	757
805	境	b	表一	1632	1062	952
806	业	a	表一，308	900	841	741
807	顾	b	表一	921	924	914
808	尖	b	表一	670	809	922
809	碰	b	表一	776	911	967
810	桌	a	表一，308	823	856	814
811	盘	b	表一	839	873	872
812	懂	b	表一	881	922	973
813	斯	a	表一	616	425	342
814	圈	a	表一	604	651	773
815	李	a	表一	469	615	563
816	冒	b	表一	1066	951	990
817	腰	b	表一	896	1047	1027
818	势	b	表一	1552	1046	902
819	腾	b	表一	1500	986	913
820	按	b	表一	1276	1035	1008
821	湖	a	表一	343	378	477
822	洗	a	表一，308	814	804	899
823	参	b	表一	1021	886	885
824	模	b	表一	1238	1056	975
825	休	b	表一	966	943	1003
826	短	b	表一	913	1014	904
827	材	c	表一	903	1176	1097
828	洞	a	表一	504	482	535
829	菜	a	表一	562	680	730
830	众	b	表一	1093	1006	682
831	宽	b	表一	1033	933	1004
832	狗	a	表一，308	360	483	539
833	兵	b	表一	630	564	442
834	逃	b	表一	964	909	977
835	险	b	表一	1479	871	828
836	烧	b	表一	1128	890	779
837	招	b	表一	1147	1015	997
838	姑	a	表一	376	376	484
839	击	b	表一	1499	904	735
840	区	b	表一	1292	900	895
841	躲	b	表一	815	967	1089
842	沿	b	表一	1004	860	989
843	派	b	表一	1155	987	923
844	汉	b	表一	652	697	625
845	漫	c	表一	1482	1104	980
846	班	a	表一，308	640	655	599
847	刀	a	表一，308	787	798	805
848	赞	b	表一	980	984	1023
849	巧	b	表一	1067	983	1064
850	哈	a	表一	518	632	700
851	克	b	表一	1031	549	466
852	荡	b	表一	998	932	912
853	环	b	表一	1119	931	949
854	存	c	表一	1724	1112	909
855	铺	b	表一	905	1032	1068
856	羊	a	表一，308	235	489	611
857	丰	b	表一	1024	1082	1090
858	吓	b	表一	902	1025	1069
859	龙	a	表一	473	433	444
860	楚	b	表一	784	743	691
861	爷	a	表一，308	126	223	285
862	甚	c	表一	2191	1240	1045
863	编	a	表一	592	988	1073
